Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header,startDiagnostic,stopDiagnostic,Scale,Updated,Notes
,,,,,,,,,,,,
?Charging Limit ?,? Chg Limit,2241B7,(Signed(A)*256+b),0,32000,W,7e4,,,1,23-Mar,"Always zero, but that could just mean no limit, but I almost always L3 charge. I need to look at this under L2."
*L2 Charger Active,L2 Charger,224373,(Signed(A)*256+b),-1,0,?,7E4,,,1,23-Mar,"-1 when L2, 0 otherwise"
?Unknown 22835A,?22835A,22835A,Signed(A),-5,0,?,7E4,,,1,23-Mar,"low single digit negative, no pattern"
?Unknown 22433C,?22433C,22433C,((A*256)+B),0,65535,?,7E4,,,1,1-Mar,"Not voltage - stays almost perfectly constant, +/- 1"
,,,,,,,,,,,,
*BECM 5V Reference Voltage 1,+5V REF 1,2240D3,5+((SIGNED(A)*256+B)*5/65536),0,6,V,7E7,,,1,24-Mar,
*BECM 5V Reference Voltage 2,+5V REF 2,2240D4,5+((SIGNED(A)*256+B)*5/65536),0,6,V,7E7,,,1,24-Mar,
*BECM Battery Section 1 Temp,Batt Sec 1 Temp,2240D7,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Battery Section 2 Temp,Batt Sec 2 Temp,2240D9,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Battery Section 3 Temp,Batt Sec 3 Temp,2240DB,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Battery Section 4 Temp,Batt Sec 4 Temp,2240DD,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Battery Section 5 Temp,Batt Sec 5 Temp,2240DF,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Battery Section 6 Temp,Batt Sec 6 Temp,2240E1,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Battery Coolant Temp ?,Batt Coolant Temp ?,2241A4,A-40,-40,100,C,7E7,,,1,24-Mar,
*BECM Average Cell Voltage ?,Avg Cell,22C218,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,31-Mar,Maybe. I think so.
,,,,,,,,,,,,
+Battery Cell Voltage #1,Cell 1,224181,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #2,Cell 2,224182,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #3,Cell 3,224183,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #4,Cell 4,224184,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #5,Cell 5,224185,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #6,Cell 6,224186,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #7,Cell 7,224187,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #8,Cell 8,224188,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #9,Cell 9,224189,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #10,Cell 10,22418A,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #11,Cell 11,22418B,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #12,Cell 12,22418C,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #13,Cell 13,22418D,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #14,Cell 14,22418E,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #15,Cell 15,22418F,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #16,Cell 16,224190,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #17,Cell 17,224191,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #18,Cell 18,224192,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #19,Cell 19,224193,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #20,Cell 20,224194,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #21,Cell 21,224195,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #22,Cell 22,224196,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #23,Cell 23,224197,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #24,Cell 24,224198,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #25,Cell 25,224199,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #26,Cell 26,22419A,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #27,Cell 27,22419B,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #28,Cell 28,22419C,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #29,Cell 29,22419D,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #30,Cell 30,22419E,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #31,Cell 31,22419F,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #32,Cell 32,224200,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #33,Cell 33,224201,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #34,Cell 34,224202,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #35,Cell 35,224203,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #36,Cell 36,224204,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #37,Cell 37,224205,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #38,Cell 38,224206,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #39,Cell 39,224207,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #40,Cell 40,224208,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #41,Cell 41,224209,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #42,Cell 42,22420A,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #43,Cell 43,22420B,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #44,Cell 44,22420C,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #45,Cell 45,22420D,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #46,Cell 46,22420E,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #47,Cell 47,22420F,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #48,Cell 48,224210,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #49,Cell 49,224211,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #50,Cell 50,224212,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #51,Cell 51,224213,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #52,Cell 52,224214,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #53,Cell 53,224215,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #54,Cell 54,224216,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #55,Cell 55,224217,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #56,Cell 56,224218,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #57,Cell 57,224219,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #58,Cell 58,22421A,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #59,Cell 59,22421B,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #60,Cell 60,22421C,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #61,Cell 61,22421D,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #62,Cell 62,22421E,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #63,Cell 63,22421F,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #64,Cell 64,224220,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #65,Cell 65,224221,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #66,Cell 66,224222,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #67,Cell 67,224223,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #68,Cell 68,224224,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #69,Cell 69,224225,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #70,Cell 70,224226,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #71,Cell 71,224227,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #72,Cell 72,224228,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #73,Cell 73,224229,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #74,Cell 74,22422A,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #75,Cell 75,22422B,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #76,Cell 76,22422C,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #77,Cell 77,22422D,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #78,Cell 78,22422E,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #79,Cell 79,22422F,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #80,Cell 80,224230,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #81,Cell 81,224231,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #82,Cell 82,224232,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #83,Cell 83,224233,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #84,Cell 84,224234,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #85,Cell 85,224235,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #86,Cell 86,224236,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #87,Cell 87,224237,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #88,Cell 88,224238,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #89,Cell 89,224239,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #90,Cell 90,22423A,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #91,Cell 91,22423B,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #92,Cell 92,22423C,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #93,Cell 93,22423D,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #94,Cell 94,22423E,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #95,Cell 95,22423F,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
+Battery Cell Voltage #96,Cell 96,224240,((A*256)+B)*5/65536,2.5,4.2,V,7E7,,,1,24-Mar,
